Ársfjórðungur,Landsvæði,Kyn,Aldur,Eining,value
2015Q2,Total,Females,55-74,"Unemployment rate, % (Ratio of labour force)",3
2015Q2,Total,Females,55-74,Unemployed (Estimated number),500
2015Q2,Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",5.8
2015Q2,Capital region,Males and females,16-74,Unemployed (Estimated number),7200
2015Q2,Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",12.4
2015Q2,Capital region,Males and females,16-24,Unemployed (Estimated number),3000
2015Q2,Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",4.5
2015Q2,Capital region,Males and females,25-54,Unemployed (Estimated number),3400
2015Q2,Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",3.3
2015Q2,Capital region,Males and females,55-74,Unemployed (Estimated number),800
2015Q2,Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",4.7
2015Q2,Capital region,Males,16-74,Unemployed (Estimated number),3000
2015Q2,Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",13.3
2015Q2,Capital region,Males,16-24,Unemployed (Estimated number),1500
2015Q2,Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",2.3
2015Q2,Capital region,Males,25-54,Unemployed (Estimated number),900
2015Q2,Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",4.3
2015Q2,Capital region,Males,55-74,Unemployed (Estimated number),600
2015Q2,Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",6.9
2015Q2,Capital region,Females,16-74,Unemployed (Estimated number),4200
2015Q2,Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",11.5
2015Q2,Capital region,Females,16-24,Unemployed (Estimated number),1500
2015Q2,Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",6.8
2015Q2,Capital region,Females,25-54,Unemployed (Estimated number),2500
2015Q2,Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",2.1
2015Q2,Capital region,Females,55-74,Unemployed (Estimated number),200
2015Q2,Outside Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",5.4
2015Q2,Outside Capital region,Males and females,16-74,Unemployed (Estimated number),3700
2015Q2,Outside Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",15.4
2015Q2,Outside Capital region,Males and females,16-24,Unemployed (Estimated number),1800
2015Q2,Outside Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",3.7
2015Q2,Outside Capital region,Males and females,25-54,Unemployed (Estimated number),1500
2015Q2,Outside Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",2.5
2015Q2,Outside Capital region,Males and females,55-74,Unemployed (Estimated number),400
2015Q2,Outside Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",5.5
2015Q2,Outside Capital region,Males,16-74,Unemployed (Estimated number),2100
2015Q2,Outside Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",17
2015Q2,Outside Capital region,Males,16-24,Unemployed (Estimated number),1100
2015Q2,Outside Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",3.9
2015Q2,Outside Capital region,Males,25-54,Unemployed (Estimated number),900
2015Q2,Outside Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",1.1
2015Q2,Outside Capital region,Males,55-74,Unemployed (Estimated number),100
2015Q2,Outside Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",5.2
2015Q2,Outside Capital region,Females,16-74,Unemployed (Estimated number),1600
2015Q2,Outside Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",13.3
2015Q2,Outside Capital region,Females,16-24,Unemployed (Estimated number),700
2015Q2,Outside Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",3.4
2015Q2,Outside Capital region,Females,25-54,Unemployed (Estimated number),700
2015Q2,Outside Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",4.4
2015Q2,Outside Capital region,Females,55-74,Unemployed (Estimated number),300
2015Q3,Total,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",4.2
2015Q3,Total,Males and females,16-74,Unemployed (Estimated number),8000
2015Q3,Total,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",6.3
2015Q3,Total,Males and females,16-24,Unemployed (Estimated number),2100
2015Q3,Total,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",4.1
2015Q3,Total,Males and females,25-54,Unemployed (Estimated number),4700
2015Q3,Total,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",2.8
2015Q3,Total,Males and females,55-74,Unemployed (Estimated number),1200
2015Q3,Total,Males,16-74,"Unemployment rate, % (Ratio of labour force)",3.7
2015Q3,Total,Males,16-74,Unemployed (Estimated number),3800
2015Q3,Total,Males,16-24,"Unemployment rate, % (Ratio of labour force)",8.5
2015Q3,Total,Males,16-24,Unemployed (Estimated number),1500
2015Q3,Total,Males,25-54,"Unemployment rate, % (Ratio of labour force)",2.8
2015Q3,Total,Males,25-54,Unemployed (Estimated number),1700
2015Q3,Total,Males,55-74,"Unemployment rate, % (Ratio of labour force)",2.6
2015Q3,Total,Males,55-74,Unemployed (Estimated number),600
2015Q3,Total,Females,16-74,"Unemployment rate, % (Ratio of labour force)",4.7
2015Q3,Total,Females,16-74,Unemployed (Estimated number),4200
2015Q3,Total,Females,16-24,"Unemployment rate, % (Ratio of labour force)",4
2015Q3,Total,Females,16-24,Unemployed (Estimated number),600
2015Q3,Total,Females,25-54,"Unemployment rate, % (Ratio of labour force)",5.5
2015Q3,Total,Females,25-54,Unemployed (Estimated number),3000
2015Q3,Total,Females,55-74,"Unemployment rate, % (Ratio of labour force)",3
2015Q3,Total,Females,55-74,Unemployed (Estimated number),600
2015Q3,Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",5.2
2015Q3,Capital region,Males and females,16-74,Unemployed (Estimated number),6400
2015Q3,Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",8
2015Q3,Capital region,Males and females,16-24,Unemployed (Estimated number),1900
2015Q3,Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",4.7
2015Q3,Capital region,Males and females,25-54,Unemployed (Estimated number),3500
2015Q3,Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",4
2015Q3,Capital region,Males and females,55-74,Unemployed (Estimated number),1000
2015Q3,Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",4.8
2015Q3,Capital region,Males,16-74,Unemployed (Estimated number),3000
2015Q3,Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",11
2015Q3,Capital region,Males,16-24,Unemployed (Estimated number),1400
2015Q3,Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",3
2015Q3,Capital region,Males,25-54,Unemployed (Estimated number),1100
2015Q3,Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",4.2
2015Q3,Capital region,Males,55-74,Unemployed (Estimated number),500
2015Q3,Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",5.6
2015Q3,Capital region,Females,16-74,Unemployed (Estimated number),3400
2015Q3,Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",4.9
2015Q3,Capital region,Females,16-24,Unemployed (Estimated number),600
2015Q3,Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",6.6
2015Q3,Capital region,Females,25-54,Unemployed (Estimated number),2400
2015Q3,Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",3.8
2015Q3,Capital region,Females,55-74,Unemployed (Estimated number),500
2015Q3,Outside Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",2.3
2015Q3,Outside Capital region,Males and females,16-74,Unemployed (Estimated number),1500
2015Q3,Outside Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",1.9
2015Q3,Outside Capital region,Males and females,16-24,Unemployed (Estimated number),200
2015Q3,Outside Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",2.9
2015Q3,Outside Capital region,Males and females,25-54,Unemployed (Estimated number),1200
2015Q3,Outside Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",0.9
2015Q3,Outside Capital region,Males and females,55-74,Unemployed (Estimated number),100
2015Q3,Outside Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",2
2015Q3,Outside Capital region,Males,16-74,Unemployed (Estimated number),800
2015Q3,Outside Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",2.2
2015Q3,Outside Capital region,Males,16-24,Unemployed (Estimated number),100
2015Q3,Outside Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",2.5
2015Q3,Outside Capital region,Males,25-54,Unemployed (Estimated number),600
2015Q3,Outside Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",0.6
2015Q3,Outside Capital region,Males,55-74,Unemployed (Estimated number),100
2015Q3,Outside Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",2.7
2015Q3,Outside Capital region,Females,16-74,Unemployed (Estimated number),800
2015Q3,Outside Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",1.6
2015Q3,Outside Capital region,Females,16-24,Unemployed (Estimated number),100
2015Q3,Outside Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",3.4
2015Q3,Outside Capital region,Females,25-54,Unemployed (Estimated number),600
2015Q3,Outside Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",1.3
2015Q3,Outside Capital region,Females,55-74,Unemployed (Estimated number),100
2015Q4,Total,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",3.4
2015Q4,Total,Males and females,16-74,Unemployed (Estimated number),6400
2015Q4,Total,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",7.9
2015Q4,Total,Males and females,16-24,Unemployed (Estimated number),2400
2015Q4,Total,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",2.7
2015Q4,Total,Males and females,25-54,Unemployed (Estimated number),3100
2015Q4,Total,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",2.2
2015Q4,Total,Males and females,55-74,Unemployed (Estimated number),900
2015Q4,Total,Males,16-74,"Unemployment rate, % (Ratio of labour force)",4.2
2015Q4,Total,Males,16-74,Unemployed (Estimated number),4100
2015Q4,Total,Males,16-24,"Unemployment rate, % (Ratio of labour force)",13.2
2015Q4,Total,Males,16-24,Unemployed (Estimated number),2000
2015Q4,Total,Males,25-54,"Unemployment rate, % (Ratio of labour force)",2.8
2015Q4,Total,Males,25-54,Unemployed (Estimated number),1600
2015Q4,Total,Males,55-74,"Unemployment rate, % (Ratio of labour force)",2.2
2015Q4,Total,Males,55-74,Unemployed (Estimated number),500
2015Q4,Total,Females,16-74,"Unemployment rate, % (Ratio of labour force)",2.5
2015Q4,Total,Females,16-74,Unemployed (Estimated number),2300
2015Q4,Total,Females,16-24,"Unemployment rate, % (Ratio of labour force)",2.7
2015Q4,Total,Females,16-24,Unemployed (Estimated number),400
2015Q4,Total,Females,25-54,"Unemployment rate, % (Ratio of labour force)",2.6
2015Q4,Total,Females,25-54,Unemployed (Estimated number),1400
2015Q4,Total,Females,55-74,"Unemployment rate, % (Ratio of labour force)",2.3
2015Q4,Total,Females,55-74,Unemployed (Estimated number),400
2015Q4,Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",4
2015Q4,Capital region,Males and females,16-74,Unemployed (Estimated number),4900
2015Q4,Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",9
2015Q4,Capital region,Males and females,16-24,Unemployed (Estimated number),1900
2015Q4,Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",3.3
2015Q4,Capital region,Males and females,25-54,Unemployed (Estimated number),2500
2015Q4,Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",2
2015Q4,Capital region,Males and females,55-74,Unemployed (Estimated number),500
2015Q4,Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",5
2015Q4,Capital region,Males,16-74,Unemployed (Estimated number),3100
2015Q4,Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",15.8
2015Q4,Capital region,Males,16-24,Unemployed (Estimated number),1600
2015Q4,Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",3.1
2015Q4,Capital region,Males,25-54,Unemployed (Estimated number),1200
2015Q4,Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",2.3
2015Q4,Capital region,Males,55-74,Unemployed (Estimated number),300
2015Q4,Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",3
2015Q4,Capital region,Females,16-74,Unemployed (Estimated number),1800
2015Q4,Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",2.8
2015Q4,Capital region,Females,16-24,Unemployed (Estimated number),300
2015Q4,Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",3.5
2015Q4,Capital region,Females,25-54,Unemployed (Estimated number),1300
2015Q4,Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",1.6
2015Q4,Capital region,Females,55-74,Unemployed (Estimated number),200
2015Q4,Outside Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",2.3
2015Q4,Outside Capital region,Males and females,16-74,Unemployed (Estimated number),1500
2015Q4,Outside Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",5.2
2015Q4,Outside Capital region,Males and females,16-24,Unemployed (Estimated number),500
2015Q4,Outside Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",1.5
2015Q4,Outside Capital region,Males and females,25-54,Unemployed (Estimated number),600
2015Q4,Outside Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",2.6
2015Q4,Outside Capital region,Males and females,55-74,Unemployed (Estimated number),400
2015Q4,Outside Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",2.9
2015Q4,Outside Capital region,Males,16-74,Unemployed (Estimated number),1000
2015Q4,Outside Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",7.7
2015Q4,Outside Capital region,Males,16-24,Unemployed (Estimated number),400
2015Q4,Outside Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",2.1
2015Q4,Outside Capital region,Males,25-54,Unemployed (Estimated number),500
2015Q4,Outside Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",2.1
2015Q4,Outside Capital region,Males,55-74,Unemployed (Estimated number),200
