Ársfjórðungur,Atvinnugreinar/Launþegahópur,Eining,value
2018Q3,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",5.9
2018Q4,Total,Value of index,96.8
2018Q4,Total,"Quarterly change, %",7.7
2018Q4,Total,"Annual change, %",5.7
2018Q4,Private sector,Value of index,95.5
2018Q4,Private sector,"Quarterly change, %",7.9
2018Q4,Private sector,"Annual change, %",5.6
2018Q4,Public sector,Value of index,96.6
2018Q4,Public sector,"Quarterly change, %",7.5
2018Q4,Public sector,"Annual change, %",5.8
2018Q4,Manufacturing (C),Value of index,95.8
2018Q4,Manufacturing (C),"Quarterly change, %",8
2018Q4,Manufacturing (C),"Annual change, %",5.9
2018Q4,"Electricity, gas, steam and air conditioning supply (D)",Value of index,97.9
2018Q4,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",12.4
2018Q4,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",4.3
2018Q4,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,96.4
2018Q4,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",8.8
2018Q4,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",4.1
2018Q4,Construction (F),Value of index,97.9
2018Q4,Construction (F),"Quarterly change, %",6.6
2018Q4,Construction (F),"Annual change, %",4.7
2018Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,95.2
2018Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",8.2
2018Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",4.8
2018Q4,Transportation and storage (H),Value of index,95.7
2018Q4,Transportation and storage (H),"Quarterly change, %",7.8
2018Q4,Transportation and storage (H),"Annual change, %",6.8
2018Q4,Accommodation and food service activities (I),Value of index,97.7
2018Q4,Accommodation and food service activities (I),"Quarterly change, %",6.7
2018Q4,Accommodation and food service activities (I),"Annual change, %",5.2
2018Q4,Information and communication (J),Value of index,96.2
2018Q4,Information and communication (J),"Quarterly change, %",5.7
2018Q4,Information and communication (J),"Annual change, %",5
2018Q4,Financial and insurance activities (K),Value of index,100.4
2018Q4,Financial and insurance activities (K),"Quarterly change, %",10.2
2018Q4,Financial and insurance activities (K),"Annual change, %",7.8
2018Q4,Real estate activities (L),Value of index,98.2
2018Q4,Real estate activities (L),"Quarterly change, %",5.3
2018Q4,Real estate activities (L),"Annual change, %",4.6
2018Q4,"Professional, scientific and technical activities (M)",Value of index,100
2018Q4,"Professional, scientific and technical activities (M)","Quarterly change, %",4.8
2018Q4,"Professional, scientific and technical activities (M)","Annual change, %",3.6
2018Q4,Administrative and support service activities (N),Value of index,96.4
2018Q4,Administrative and support service activities (N),"Quarterly change, %",7.1
2018Q4,Administrative and support service activities (N),"Annual change, %",5
2018Q4,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,96.9
2018Q4,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",7.9
2018Q4,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",5.8
2019Q1,Total,Value of index,94
2019Q1,Total,"Quarterly change, %",-2.9
2019Q1,Total,"Annual change, %",4.6
2019Q1,Private sector,Value of index,93.1
2019Q1,Private sector,"Quarterly change, %",-2.5
2019Q1,Private sector,"Annual change, %",4.3
2019Q1,Public sector,Value of index,93.6
2019Q1,Public sector,"Quarterly change, %",-3.1
2019Q1,Public sector,"Annual change, %",5.2
2019Q1,Manufacturing (C),Value of index,93.6
2019Q1,Manufacturing (C),"Quarterly change, %",-2.3
2019Q1,Manufacturing (C),"Annual change, %",6
2019Q1,"Electricity, gas, steam and air conditioning supply (D)",Value of index,93.7
2019Q1,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",-4.3
2019Q1,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",4.7
2019Q1,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,95.8
2019Q1,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",-0.6
2019Q1,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",4.5
2019Q1,Construction (F),Value of index,94.3
2019Q1,Construction (F),"Quarterly change, %",-3.7
2019Q1,Construction (F),"Annual change, %",3.7
2019Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,92.7
2019Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",-2.6
2019Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",4.6
2019Q1,Transportation and storage (H),Value of index,93.2
2019Q1,Transportation and storage (H),"Quarterly change, %",-2.6
2019Q1,Transportation and storage (H),"Annual change, %",5
2019Q1,Accommodation and food service activities (I),Value of index,94.4
2019Q1,Accommodation and food service activities (I),"Quarterly change, %",-3.4
2019Q1,Accommodation and food service activities (I),"Annual change, %",4.4
2019Q1,Information and communication (J),Value of index,95.5
2019Q1,Information and communication (J),"Quarterly change, %",-0.7
2019Q1,Information and communication (J),"Annual change, %",5.4
2019Q1,Financial and insurance activities (K),Value of index,97.2
2019Q1,Financial and insurance activities (K),"Quarterly change, %",-3.2
2019Q1,Financial and insurance activities (K),"Annual change, %",-1.6
2019Q1,Real estate activities (L),Value of index,98.4
2019Q1,Real estate activities (L),"Quarterly change, %",0.2
2019Q1,Real estate activities (L),"Annual change, %",5.2
2019Q1,"Professional, scientific and technical activities (M)",Value of index,97.6
2019Q1,"Professional, scientific and technical activities (M)","Quarterly change, %",-2.4
2019Q1,"Professional, scientific and technical activities (M)","Annual change, %",3.7
2019Q1,Administrative and support service activities (N),Value of index,92.8
2019Q1,Administrative and support service activities (N),"Quarterly change, %",-3.7
2019Q1,Administrative and support service activities (N),"Annual change, %",3.8
2019Q1,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,93.7
2019Q1,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",-3.3
2019Q1,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",5.2
2019Q2,Total,Value of index,96.3
2019Q2,Total,"Quarterly change, %",2.4
2019Q2,Total,"Annual change, %",4.9
2019Q2,Private sector,Value of index,95.4
2019Q2,Private sector,"Quarterly change, %",2.5
2019Q2,Private sector,"Annual change, %",5.2
2019Q2,Public sector,Value of index,95.2
2019Q2,Public sector,"Quarterly change, %",1.7
2019Q2,Public sector,"Annual change, %",4
2019Q2,Manufacturing (C),Value of index,96.5
2019Q2,Manufacturing (C),"Quarterly change, %",3.1
2019Q2,Manufacturing (C),"Annual change, %",5.8
2019Q2,"Electricity, gas, steam and air conditioning supply (D)",Value of index,94.9
2019Q2,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",1.3
2019Q2,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",3.8
2019Q2,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,96.8
2019Q2,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",1
2019Q2,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",6.1
2019Q2,Construction (F),Value of index,98.2
2019Q2,Construction (F),"Quarterly change, %",4.1
2019Q2,Construction (F),"Annual change, %",4.5
2019Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,95.6
2019Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",3.1
2019Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",5.5
2019Q2,Transportation and storage (H),Value of index,95.8
2019Q2,Transportation and storage (H),"Quarterly change, %",2.8
2019Q2,Transportation and storage (H),"Annual change, %",6.2
2019Q2,Accommodation and food service activities (I),Value of index,98.6
2019Q2,Accommodation and food service activities (I),"Quarterly change, %",4.4
2019Q2,Accommodation and food service activities (I),"Annual change, %",5.3
2019Q2,Information and communication (J),Value of index,97.6
2019Q2,Information and communication (J),"Quarterly change, %",2.2
2019Q2,Information and communication (J),"Annual change, %",6.7
2019Q2,Financial and insurance activities (K),Value of index,99.3
2019Q2,Financial and insurance activities (K),"Quarterly change, %",2.2
2019Q2,Financial and insurance activities (K),"Annual change, %",4.2
2019Q2,Real estate activities (L),Value of index,98.2
2019Q2,Real estate activities (L),"Quarterly change, %",-0.2
2019Q2,Real estate activities (L),"Annual change, %",4.5
2019Q2,"Professional, scientific and technical activities (M)",Value of index,97.8
2019Q2,"Professional, scientific and technical activities (M)","Quarterly change, %",0.2
2019Q2,"Professional, scientific and technical activities (M)","Annual change, %",3.3
2019Q2,Administrative and support service activities (N),Value of index,96.2
2019Q2,Administrative and support service activities (N),"Quarterly change, %",3.7
2019Q2,Administrative and support service activities (N),"Annual change, %",5.1
2019Q2,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,95.3
2019Q2,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",1.7
2019Q2,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",4
2019Q3,Total,Value of index,93.8
2019Q3,Total,"Quarterly change, %",-2.6
2019Q3,Total,"Annual change, %",4.3
