Kyn og landsvæði,Atvinnigrein (aðal- og aukastarf),Ár,Eining,value
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2020,Number (main and second job),1700
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2020,95% Conf.Int,400
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2021,Number (main and second job),1400
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2021,95% Conf.Int,300
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2022,Number (main and second job),2500
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2022,95% Conf.Int,500
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2023,Number (main and second job),3200
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2023,95% Conf.Int,700
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2024,Number (main and second job),2400
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2024,95% Conf.Int,600
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2025,Number (main and second job),4300
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2025,95% Conf.Int,800
Total,"O-Q - Public admin., Education and Health/Social activities",1991,Number (main and second job),32300
Total,"O-Q - Public admin., Education and Health/Social activities",1991,95% Conf.Int,1900
Total,"O-Q - Public admin., Education and Health/Social activities",1992,Number (main and second job),34600
Total,"O-Q - Public admin., Education and Health/Social activities",1992,95% Conf.Int,1800
Total,"O-Q - Public admin., Education and Health/Social activities",1993,Number (main and second job),35000
Total,"O-Q - Public admin., Education and Health/Social activities",1993,95% Conf.Int,1800
Total,"O-Q - Public admin., Education and Health/Social activities",1994,Number (main and second job),35200
Total,"O-Q - Public admin., Education and Health/Social activities",1994,95% Conf.Int,1700
Total,"O-Q - Public admin., Education and Health/Social activities",1995,Number (main and second job),36400
Total,"O-Q - Public admin., Education and Health/Social activities",1995,95% Conf.Int,1800
Total,"O-Q - Public admin., Education and Health/Social activities",1996,Number (main and second job),36300
Total,"O-Q - Public admin., Education and Health/Social activities",1996,95% Conf.Int,1800
Total,"O-Q - Public admin., Education and Health/Social activities",1997,Number (main and second job),35700
Total,"O-Q - Public admin., Education and Health/Social activities",1997,95% Conf.Int,1800
Total,"O-Q - Public admin., Education and Health/Social activities",1998,Number (main and second job),37100
Total,"O-Q - Public admin., Education and Health/Social activities",1998,95% Conf.Int,1900
Total,"O-Q - Public admin., Education and Health/Social activities",1999,Number (main and second job),37600
Total,"O-Q - Public admin., Education and Health/Social activities",1999,95% Conf.Int,1900
Total,"O-Q - Public admin., Education and Health/Social activities",2000,Number (main and second job),37200
Total,"O-Q - Public admin., Education and Health/Social activities",2000,95% Conf.Int,1900
Total,"O-Q - Public admin., Education and Health/Social activities",2001,Number (main and second job),39800
Total,"O-Q - Public admin., Education and Health/Social activities",2001,95% Conf.Int,2000
Total,"O-Q - Public admin., Education and Health/Social activities",2002,Number (main and second job),41600
Total,"O-Q - Public admin., Education and Health/Social activities",2002,95% Conf.Int,2100
Total,"O-Q - Public admin., Education and Health/Social activities",2003,Number (main and second job),46300
Total,"O-Q - Public admin., Education and Health/Social activities",2003,95% Conf.Int,1700
Total,"O-Q - Public admin., Education and Health/Social activities",2004,Number (main and second job),44100
Total,"O-Q - Public admin., Education and Health/Social activities",2004,95% Conf.Int,1600
Total,"O-Q - Public admin., Education and Health/Social activities",2005,Number (main and second job),44900
Total,"O-Q - Public admin., Education and Health/Social activities",2005,95% Conf.Int,1700
Total,"O-Q - Public admin., Education and Health/Social activities",2006,Number (main and second job),47700
Total,"O-Q - Public admin., Education and Health/Social activities",2006,95% Conf.Int,1700
Total,"O-Q - Public admin., Education and Health/Social activities",2007,Number (main and second job),48900
Total,"O-Q - Public admin., Education and Health/Social activities",2007,95% Conf.Int,1800
Total,"O-Q - Public admin., Education and Health/Social activities",2008,Number (main and second job),51300
Total,"O-Q - Public admin., Education and Health/Social activities",2008,95% Conf.Int,1900
Total,"O-Q - Public admin., Education and Health/Social activities",2009,Number (main and second job),49000
Total,"O-Q - Public admin., Education and Health/Social activities",2009,95% Conf.Int,1800
Total,"O-Q - Public admin., Education and Health/Social activities",2010,Number (main and second job),49900
Total,"O-Q - Public admin., Education and Health/Social activities",2010,95% Conf.Int,1800
Total,"O-Q - Public admin., Education and Health/Social activities",2011,Number (main and second job),45600
Total,"O-Q - Public admin., Education and Health/Social activities",2011,95% Conf.Int,1700
Total,"O-Q - Public admin., Education and Health/Social activities",2012,Number (main and second job),47200
Total,"O-Q - Public admin., Education and Health/Social activities",2012,95% Conf.Int,1800
Total,"O-Q - Public admin., Education and Health/Social activities",2013,Number (main and second job),50000
Total,"O-Q - Public admin., Education and Health/Social activities",2013,95% Conf.Int,1900
Total,"O-Q - Public admin., Education and Health/Social activities",2014,Number (main and second job),50100
Total,"O-Q - Public admin., Education and Health/Social activities",2014,95% Conf.Int,1900
Total,"O-Q - Public admin., Education and Health/Social activities",2015,Number (main and second job),51600
Total,"O-Q - Public admin., Education and Health/Social activities",2015,95% Conf.Int,1900
Total,"O-Q - Public admin., Education and Health/Social activities",2016,Number (main and second job),53700
